Cidade;Data;Produto;PreçoUnitário;Quantidade
Jaguariúna;25/08/2023;Celular Motorola ONE;3296,7;2
Pedreira;25/08/2023;Celular Sansung;1298,7;1
Campinas;25/08/2023;Notebook Positivo;2797,2;2
Holambra;26/08/2023;Notebook DEL;1698,3;2
Artur Nogueira;26/08/2023;Notebook LENOVO;2397,6;5
Jaguariúna;27/08/2023;Smartwatche Xiaomi;2697,3;3
Pedreira;28/08/2023;PS5 Sony;2297,7;3
Artur Nogueira;28/08/2023;XBOX Microsoft;2297,7;5
Campinas;28/08/2023;SmartTV 50";2097,9;2
Pedreira;29/08/2023;Notebook Positivo;2797,2;2
Artur Nogueira;30/08/2023;Notebook DEL;1698,3;2
Campinas;30/08/2023;Notebook LENOVO;2397,6;5
Pedreira;30/08/2023;Smartwatche Xiaomi;2697,3;3
Pedreira;31/08/2023;Celular Motorola ONE;3296,7;2
Artur Nogueira;01/09/2023;Celular Sansung;1298,7;2
Campinas;02/09/2023;Notebook Positivo;2797,2;5
