id;produto;tipo;custo;preco;valor;img
1;Camiseta;vestuário;30,00;60,00;50,00;
2;Calça;vestuário;50,00;100,00;80,00;
3;Boné;vestuário;15,00;40,00;25,00;
4;Meia;vestuário;5,00;10,00;8,00;
5;Cueca;vestuário;5,00;10,00;8,00;
6;Mini fusca;decoração;100,00;200,00;150,00;
7;Mini moto;decoração;120,00;240,00;200,00;
8;Mini caminhão;decoração;150,00;300,00;250,00;
9;Mini bicicleta;decoração;80,00;160,00;120,00;
10;Miniatura Thor;colecionáveis;200,00;400,00;350,00;
11;Miniatura Hulk;colecionáveis;200,00;400,00;350,00;
12;Miniatura Homem de Ferro;colecionáveis;200,00;400,00;350,00;
