id_vaga;tipo_vaga;descricao_vaga;valor_vaga
1;Moto;Vaga para moto;5.00
2;Moto;Vaga para moto;5.00
3;Moto;Vaga para moto;5.00
4;Moto;Vaga para moto;5.00
5;Moto;Vaga para moto;5.00
6;Moto;Vaga para moto;5.00
7;Moto;Vaga para moto;5.00
8;Moto;Vaga para moto;5.00
9;Carro;Vaga para carro;10.00
10;Carro;Vaga para carro;10.00
11;Carro;Vaga para carro;10.00
12;Carro;Vaga para carro;10.00
13;Carro;Vaga para carro;10.00
14;Carro;Vaga para carro;10.00
15;Carro;Vaga para carro;10.00
16;Carro;Vaga para carro;10.00
17;Carro;Vaga para carro;10.00
18;Carro;Vaga para carro;10.00
19;Carro;Vaga para carro;10.00
20;Carro;Vaga para carro;10.00
21;Carro;Vaga para carro;10.00
