placa;modelo;marca;cor
CDB-6550;Virago;Yamaha;Preto
FBE-7782;YBR 125;Yamaha;Branco
CAF-5415;CG 125;Honda;Preto
LEJ-4B96;Faser;Yamaha;Vermelha
FBD-1173;Biz;Honda;Preto
ACH-6A95;CG Titan 150;Honda;Prata
DLE-1A56;Ka;Ford;Branco
CCI-5260;Fiesta;Ford;Prata
LDD-1002;Voyage;Volkswagen;Preto
KLA-7A63;Voyage;Volkswagen;Prata
EEL-8147;Gol;Volkswagen;Branco
BLB-5D66;Fiesta;Ford;Preto
IJA-7733;Celta;Chevrolet;Preto
KFA-3C03;Gol;Volkswagen;Preto
EKA-3455;Gol;Volkswagen;Vermelho
LLL-6246;Saveiro;Volkswagen;Prata
KBK-5248;Celta;Chevrolet;Prata
LIB-7295;Ka;Ford;Prata
FLL-2392;Corsa;Chevrolet;Prata
BKB-3810;Fiesta;Ford;Branco
ELF-7B90;Celta;Chevrolet;Branco
EJI-7E35;Voyage;Volkswagen;Branco
EBI-3338;Fusion;Ford;Branco
BHI-3F56;Kombi;Volkswagen;Prata
JCF-7153;Kombi;Volkswagen;Branco
ILC-2428;Polo;Volkswagen;Branco
LCB-7951;Corsa;Chevrolet;Preto
HCA-6132;Polo;Volkswagen;Preto
LAE-4407;Fusion;Ford;Preto
BFC-3C01;Corsa;Chevrolet;Branco
JKF-6A99;Fusion;Ford;Prata
