Propor modelos de documentação a serem utilizados no detalhamento dos requisitos funcionais e não funcionais, considerando a metodologia estabelecida (3);Apresentou Diagramas de Casos de Uso, MER x DER;T;1
Aplicar técnicas para levantamento de necessidades do cliente;Apresentou EAP (Documento de Requisitos);T;1
Elaborar diagramas de casos de uso, com linguagem de modelagem, e suas narrativas;Apresentou Organograma, Orçamento e Diagramas de Casos de Uso para os requisitos;T;0
Elaborar documentação técnica dos requisitos funcionais e não funcionais, de acordo com as informações coletadas com o cliente (4);Entregou o Documento do Projeto conforme solicitado;T;1
Homologar os requisitos funcionais junto ao cliente;Verificou junto aos colegas de sala, professores e funcionários da escola se a proposta é viável.;T;0
Demonstrar capacidade de análise (2);Relacionou o problema com a solução, solucionando efetivamente o problema;G;0
Demonstrar capacidade de comunicação com profissionais de diferentes áreas e especialidades;Apresentou de forma clara e completa a proposta e o protótipo;G;0
Demonstrar capacidade de organização das informações (4);Separou o repositório com a solução documentada, criou arquivo README instruindo como executar cada camada do projeto;G;0
Demonstrar objetividade na coleta de informações;Aplicou as técnicas estudade para elencar os requisitos de acordo com as regras de negócio;G;0
Demonstrar visão sistêmica (9);Verificou onde a solução se encaixa em meio ao mercado, indústria ou sociedade;G;1
Seguir método de trabalho (3);Seguiu as intruções estudadas neste componente;G;1
