id;area;automovel;concessionária;quantidade
1;1;1;1;8
2;2;2;2;1
3;4;3;3;4
4;7;4;4;6
5;8;5;5;4
6;9;6;1;4
7;10;7;2;1
8;1;8;2;7
9;2;9;3;2
10;4;10;4;6
11;7;11;5;3
12;8;12;1;9
13;9;13;2;9
14;10;14;3;6
15;1;15;3;4
16;2;16;4;1
17;4;17;5;8
18;7;18;1;4
19;8;19;2;10
20;9;20;3;10
21;10;21;4;7
22;1;22;4;3
23;2;23;5;5
24;4;24;1;4
25;7;25;2;3
26;8;26;3;3
27;9;27;4;10
28;10;28;5;4
29;1;29;1;2
30;2;30;2;3
31;4;31;3;4
32;7;32;4;2
33;8;33;5;3
34;9;34;1;4
35;10;35;2;3
36;1;36;3;2
37;2;37;4;3
38;4;38;5;3
39;7;39;1;2
40;8;40;2;1
