id;modelo;preco
1;Fiat Strada;R$ 43.115,00
2;Fiat Argo;R$ 47.660,00 
3;Fiat Mobi;R$ 32.102,00 
4;Jeep Compass;R$ 34.950,00 
5;Hyundai HB20;R$ 49.302,00 
6;JeepRenegade;R$ 36.661,00 
7;Volkswagen T-Cross;R$ 38.182,00 
8;Fiat Toro;R$ 57.733,00 
9;Hyundai Creta;R$ 55.998,00 
10;Chevrolet S10;R$ 51.035,00 
11;Toyota Corolla Cross;R$ 34.544,00 
12;Toyota Hilux;R$ 53.937,00 
13;Toyota Corolla;R$ 55.022,00 
14;Volkswagen Gol;R$ 48.253,00 
15;Honda HR-V;R$ 53.438,00 
16;Renault Kwid;R$ 31.810,00 
17;Volkswagen Nivus;R$ 35.104,00 
18;Hyundai HB20S;R$ 31.855,00 
19;FordRanger;R$ 48.927,00 
20;Fiat Uno;R$ 38.111,00 
21;Fiat Cronos;R$ 36.515,00 
22;Citro�n C4 Cactus;R$ 53.654,00 
23;Toyota Yaris Hatchback;R$ 55.869,00 
24;Volkswagen Voyage;R$ 30.954,00 
25;Honda Civic;R$ 30.871,00 
26;Volkswagen Saveiro;R$ 32.306,00 
27;Caoa Chery Tiggo 5x;R$ 30.069,00 
28;Volkswagen Virtus;R$ 40.689,00 
29;Fiat Grand Siena;R$ 33.469,00 
30;Caoa Chery Tiggo 8;R$ 48.481,00 
31;Chevrolet Tracker;R$ 30.648,00 
32;Peugeot 208;R$ 46.934,00 
33;Toyota SW4;R$ 54.252,00 
34;Nissan Frontier;R$ 32.596,00 
35;Honda WR-V;R$ 35.139,00 
36;Volkswagen Taos;R$ 47.546,00 
37;Mitsubishi L200;R$ 57.049,00 
38;Renault Oroch;R$ 48.756,00 
39;Toyota Yaris Sedan;R$ 43.077,00 
40;Renault Duster;R$ 52.641,00 
