Data;Custo;Faturamento;Ganho;Quantidade;
14/08/2023 19:10; R$ 93,00 ; R$ 137,00 ; R$ 44,00 ;3;
14/08/2023 19:09; R$ 329,00 ; R$ 786,00 ; R$ 457,00 ;8;
14/08/2023 19:07; R$ 353,00 ; R$ 737,00 ; R$ 384,00 ;10;
14/08/2023 19:04; R$ 547,00 ; R$ 1.235,00 ; R$ 688,00 ;14;
14/08/2023 18:53; R$ 174,00 ; R$ 294,00 ; R$ 120,00 ;7;
14/08/2023 18:51; R$ 545,00 ; R$ 1.128,00 ; R$ 583,00 ;14;
14/08/2023 18:50; R$ 152,00 ; R$ 326,00 ; R$ 174,00 ;6;
14/08/2023 18:50; R$ 531,00 ; R$ 904,00 ; R$ 373,00 ;10;
14/08/2023 18:46; R$ 164,00 ; R$ 354,00 ; R$ 190,00 ;5;
14/08/2023 18:41; R$ 331,00 ; R$ 694,00 ; R$ 363,00 ;8;
14/08/2023 18:40; R$ 502,00 ; R$ 1.155,00 ; R$ 653,00 ;13;
14/08/2023 18:39; R$ 498,00 ; R$ 961,00 ; R$ 463,00 ;10;
14/08/2023 18:39; R$ 136,00 ; R$ 287,00 ; R$ 151,00 ;4;
14/08/2023 18:38; R$ 441,00 ; R$ 846,00 ; R$ 405,00 ;12;
14/08/2023 18:36; R$ 528,00 ; R$ 1.143,00 ; R$ 615,00 ;15;
14/08/2023 18:27; R$ 230,00 ; R$ 298,00 ; R$ 68,00 ;5;
14/08/2023 18:27; R$ 206,00 ; R$ 475,00 ; R$ 269,00 ;7;
14/08/2023 18:23; R$ 264,00 ; R$ 632,00 ; R$ 368,00 ;5;
14/08/2023 18:23; R$ 185,00 ; R$ 347,00 ; R$ 162,00 ;5;
14/08/2023 18:21; R$ 426,00 ; R$ 814,00 ; R$ 388,00 ;6;
14/08/2023 18:16; R$ 503,00 ; R$ 956,00 ; R$ 453,00 ;12;
14/08/2023 18:12; R$ 746,00 ; R$ 1.455,00 ; R$ 709,00 ;15;
14/08/2023 18:06; R$ 141,00 ; R$ 263,00 ; R$ 122,00 ;4;
14/08/2023 18:05; R$ 619,00 ; R$ 1.082,00 ; R$ 463,00 ;13;
14/08/2023 18:02; R$ 411,00 ; R$ 778,00 ; R$ 367,00 ;9;
14/08/2023 18:01; R$ 426,00 ; R$ 958,00 ; R$ 532,00 ;12;
14/08/2023 17:58; R$ 203,00 ; R$ 452,00 ; R$ 249,00 ;5;
14/08/2023 17:55; R$ 289,00 ; R$ 620,00 ; R$ 331,00 ;9;
14/08/2023 17:53; R$ 149,00 ; R$ 276,00 ; R$ 127,00 ;3;
14/08/2023 17:50; R$ 161,00 ; R$ 220,00 ; R$ 59,00 ;5;
14/08/2023 17:50; R$ 742,00 ; R$ 1.372,00 ; R$ 630,00 ;13;
14/08/2023 17:42; R$ 511,00 ; R$ 1.091,00 ; R$ 580,00 ;16;
14/08/2023 17:42; R$ 423,00 ; R$ 905,00 ; R$ 482,00 ;13;
14/08/2023 17:38; R$ 525,00 ; R$ 1.137,00 ; R$ 612,00 ;7;
14/08/2023 17:35; R$ 104,00 ; R$ 220,00 ; R$ 116,00 ;2;
14/08/2023 17:27; R$ 408,00 ; R$ 958,00 ; R$ 550,00 ;9;
14/08/2023 17:23; R$ 281,00 ; R$ 554,00 ; R$ 273,00 ;6;
14/08/2023 17:20; R$ 168,00 ; R$ 353,00 ; R$ 185,00 ;5;
14/08/2023 17:13; R$ 442,00 ; R$ 791,00 ; R$ 349,00 ;9;
14/08/2023 17:09; R$ 40,00 ; R$ 113,00 ; R$ 73,00 ;2;
14/08/2023 17:09; R$ 317,00 ; R$ 787,00 ; R$ 470,00 ;10;
14/08/2023 17:08; R$ 454,00 ; R$ 762,00 ; R$ 308,00 ;10;
14/08/2023 17:07; R$ 539,00 ; R$ 1.013,00 ; R$ 474,00 ;12;
14/08/2023 17:04; R$ 242,00 ; R$ 551,00 ; R$ 309,00 ;6;
14/08/2023 17:03; R$ 157,00 ; R$ 333,00 ; R$ 176,00 ;3;
14/08/2023 17:00; R$ 768,00 ; R$ 1.609,00 ; R$ 841,00 ;16;
14/08/2023 16:59; R$ 241,00 ; R$ 401,00 ; R$ 160,00 ;6;
14/08/2023 16:58; R$ 304,00 ; R$ 540,00 ; R$ 236,00 ;6;
14/08/2023 16:56; R$ 436,00 ; R$ 894,00 ; R$ 458,00 ;8;
14/08/2023 16:55; R$ 52,00 ; R$ 133,00 ; R$ 81,00 ;2;
14/08/2023 16:52; R$ 241,00 ; R$ 441,00 ; R$ 200,00 ;4;
14/08/2023 16:43; R$ 399,00 ; R$ 973,00 ; R$ 574,00 ;9;
